itag,H1706_t1 ,H1706_t2 ,H1706_t3 ,H1706_t4 ,H1706_t5 ,H1706_t6 ,H1706_t7 ,H9775_t1 ,H9775_t2 ,H9775_t3 ,H9775_t4 ,H9775_t5 ,H9775_t6 ,H9775_t7 ,H9553_t1 ,H9553_t2 ,H9553_t3 ,H9553_t4 ,H9553_t5 ,H9492_t1 ,H9492_t2 ,H9492_t3 ,H9492_t4 
Solyc04g040120,0.113611577,0,1.401249608,0.254447081,1.949680317,0.462213951,0,0.670446575,0.894304951,0.263717472,0.806692789,0,0.721885842,1.115186579,1.515374908,0,0.291723964,0.437885647,0.610195609,0.774896506,0.176771985,2.09704172,0
Solyc04g048900,211.847721,148.0644184,549.6401585,476.0704887,463.0490753,291.8881098,296.0397258,142.5816382,550.7427988,243.4112263,248.784056,194.3747856,250.333968,607.5142889,403.3422879,53.03087037,284.8684508,898.1034627,841.6122939,236.2142849,331.6242438,470.7241884,87.68109067
Solyc04g050010,0.416575783,0.30310014,1.751562009,2.544470811,2.112153677,0.231106975,1.513624504,0.446964383,1.788609901,2.109739773,0.968031346,1.087918576,2.326076601,0.459194474,2.020499877,0.244007072,1.45861982,12.0418553,11.89881438,12.91494177,6.363791459,5.797703578,0.284217474
Solyc04g050790,6.475859902,4.24340196,30.12686656,39.69374465,22.09637693,26.57730216,4.540873511,10.95062739,21.01616634,17.40535313,12.5844075,18.13197627,17.56588881,4.591944739,9.934124395,4.636134373,15.89895603,43.35067909,63.61289225,22.08455042,19.9752343,15.78949059,8.668632952
Solyc04g054890,6.437989376,8.48680392,6.655935636,4.834494541,3.736887274,8.088744135,5.676091889,4.469643831,4.918677229,5.538066904,4.840156732,5.802232406,6.978229802,6.559921055,6.650812095,5.612162662,6.855513152,9.195598595,6.864700603,9.686206326,7.424423369,7.894745297,7.958089267
Solyc04g054950,5.566967284,0.75775035,50.62014207,30.02475557,18.68443637,18.25745105,7.441987143,25.47696984,66.92382047,12.92215611,12.74574606,16.31877864,28.23375736,27.22367238,30.98099811,1.708049506,3.792411531,26.05419602,22.88233534,13.56068886,8.661827264,13.81580427,1.84741358
Solyc04g054990,382.3029574,231.4169569,668.2209066,668.6869291,580.0298943,515.8307688,431.5091189,504.6227885,535.6886654,739.4637904,630.0270679,641.87196,854.5524174,807.8542779,368.5728526,209.7647465,1149.392418,793.8866787,673.1983058,928.9717614,704.9666761,1195.807202,406.0046614
Solyc04g056350,22.60870387,53.64872478,55.6996719,59.54061698,45.97996081,50.38132061,31.6599792,28.15875614,20.56901387,12.13100369,15.16582443,30.82435966,53.49976181,61.26966265,26.2664984,24.80738568,27.85963855,42.03702215,36.91683435,67.41599603,47.021348,52.91946457,50.30649287
Solyc04g056570,80.73996088,66.53048073,248.1963367,162.8461319,189.6064108,128.9576922,172.427058,153.3087834,200.7714614,142.4074347,145.2047019,133.4513453,101.4650655,103.121959,77.45249529,62.22180343,161.9068,225.0732227,209.9072895,284.9036154,98.10845166,127.9195449,65.37001898
Solyc04g057830,0.492316835,0.45465021,4.378905023,3.307812054,4.874200793,2.311069753,0.630676877,1.787857533,1.490508251,0.791152415,1.129369904,2.538476678,4.892781815,3.54235737,8.923874457,0.732021217,2.917239639,4.597799297,4.576467068,16.66027488,2.651579775,4.194083439,0.426326211
Solyc04g058060,88.35193656,111.8439517,139.7746483,149.8693308,116.0059789,115.3223807,66.22107203,131.6310108,107.3165941,86.76304816,85.34809703,132.0007872,171.0869445,125.7536866,84.77680734,103.7030057,112.4595881,163.1124036,152.2438045,134.4445438,127.0990572,101.6448457,82.28095867
Solyc04g058160,1.628432607,0.15155007,2.802499215,1.526682487,4.711727433,1.617748827,2.901113632,0.670446575,1.043355776,0.791152415,0.645354231,1.087918576,2.566705215,0.327996053,6.145687126,0,1.750343784,4.378856474,5.644309384,2.582988354,7.247651384,6.907902135,0.426326211
Solyc04g063210,112.9677783,104.2664482,203.8818179,187.0186046,144.6012902,150.4506409,98.76399886,146.8277999,205.5410878,237.8731594,168.1147771,177.3307279,122.2393358,99.38280399,55.31118413,64.33653139,253.9457106,167.7102029,132.1073494,207.155666,180.4841967,163.6926095,66.64899761
Solyc04g063350,26.85020275,13.6395063,72.86497959,60.5584053,53.61620872,42.52368345,23.58731518,34.19277531,84.06466536,42.98594787,49.85361433,38.80242922,33.44737733,31.88121633,37.29506023,15.37244555,59.21996468,82.10355888,76.57954894,87.17585694,37.12211685,78.330676,21.03209306
Solyc04g071075,3.29473574,3.18255147,85.65138226,55.46946368,25.34584412,34.43493932,9.712423898,60.11670953,64.83710892,34.28327131,15.6498401,144.6931706,164.0285051,2.755166843,1.178624928,5.286819899,25.37998486,61.9608191,70.47759285,203.2811834,15.37916269,16.15955678,3.268500949
Solyc04g071900,132.5089696,57.43747653,441.7439388,260.553811,246.4720867,208.4584917,215.8176271,178.7857532,176.1780753,156.6481781,123.7466738,190.0231113,318.1912371,177.0522693,61.79362124,35.70636824,212.5209077,251.7842472,154.3794891,214.5171828,122.1494416,222.4097777,64.09104035
Solyc04g071980,20.4500839,21.06545973,28.20014835,22.13689606,19.33432981,22.64848358,17.40668179,16.09071779,18.78040396,13.18587358,18.7152727,10.87918576,12.35226884,26.96127554,16.07981152,13.09504621,19.83722955,20.58062543,15.10234133,16.53112546,20.50555026,36.26648621,32.54290075
Solyc04g072000,2.31010207,2.42480112,24.87218053,18.829084,14.46012902,20.33741382,2.774978257,12.51500273,36.07029968,11.07613381,9.034959232,30.46172013,8.341791947,3.017563685,8.081999508,2.928084867,3.354825585,15.32599766,19.37371059,49.72252581,1.237403895,11.47205176,0.994761158
Solyc04g072020,13.86061242,18.48910854,19.4423383,17.5568486,16.08486262,20.5685208,16.39759879,5.363572597,8.197795381,7.647806677,6.453542309,8.70334861,13.23457376,20.33575527,20.28918626,10.32963273,12.98171639,15.10705483,11.13606987,14.20643595,16.97011056,18.3799539,21.03209306
Solyc04g074300,111.2257341,202.7739937,308.2749136,319.0766397,194.643085,203.1430313,145.9386292,193.7590601,131.0156753,111.288773,111.9689591,203.4407737,224.987754,206.1783188,123.7556175,148.600307,199.8309153,277.1816148,236.9084452,271.6012254,217.4295415,227.9607705,158.0249154
Solyc04g074390,0.302964206,0,4.378905023,7.633412433,2.112153677,3.697711604,0.252270751,1.117410958,4.024372278,3.428327131,1.936062693,3.989034779,2.566705215,0.655992106,0.589312464,0.976028289,1.604481802,3.722028003,4.881564873,8.394712149,1.06063191,0.370066186,1.563196106
Solyc04g074470,9.316149333,5.75890266,74.966854,84.47643093,51.34158168,73.95423209,10.09083002,14.97330683,47.24911156,26.37174716,25.168815,43.87938257,37.45785422,24.59970396,27.19256084,9.516275818,10.93964865,34.15508049,43.32388825,147.8760832,18.20751445,49.21880271,8.100198004
Solyc04g074780,1.060374721,0.45465021,91.43153689,59.54061698,53.12878864,29.58169284,8.577205521,11.84455615,25.48769109,12.13100369,9.680313463,9.791267186,12.673107,3.148762107,1.262812423,1.138699671,9.335166846,44.66433603,39.51016569,63.92896175,3.712211685,9.12829925,0.710543685
Solyc04g078290,6.097154644,6.36510294,9.983903453,8.142306595,11.04818846,8.088744135,6.685174891,6.927947938,14.90508251,6.065501847,7.905589328,5.076953356,5.053200891,13.18544132,14.05931164,3.172091939,9.335166846,9.414541418,14.49214572,8.136413314,7.070879399,11.34869637,8.526524215
Solyc04g078360,4.885297821,0.90930042,49.39404866,51.65275746,50.20426816,28.88837191,10.46923615,20.78384382,35.17599473,18.19650554,21.29668962,25.02212725,22.45867063,19.74536238,8.502936982,0.813356908,52.51031351,58.01984828,55.22270263,46.88123862,23.510674,34.90957686,0
Solyc04g079820,0.871022092,0.45465021,2.277030612,1.526682487,2.437100396,1.617748827,0.252270751,0.446964383,1.639559076,0.263717472,0,0,0.641676304,1.574381053,0.673499959,0.325342763,1.166895856,0.656828471,1.067842316,3.228735442,0.70708794,0.986843162,2.984283475
Solyc04g082030,6.40011885,1.5155007,47.29217425,29.51586141,25.34584412,13.40420457,18.28962942,16.09071779,19.07850561,13.71330852,9.518974905,12.32974386,12.11164023,21.71333869,5.387999672,2.033392269,26.98446666,38.75287979,40.2729102,55.01765193,10.42954711,17.14639994,1.136869895
Solyc04g082120,3.256865214,1.81860084,5.60499843,12.21345989,6.98635447,5.084353456,3.531790509,4.469643831,5.663931354,4.483197017,4.678818174,2.901116203,2.807333828,6.363123424,5.051249693,3.25342763,9.043442882,10.07136989,11.74626548,9.557056909,7.424423369,11.71876255,3.979044634
Solyc05g005710,161.6314039,97.14359487,637.9188838,432.0511437,380.3501352,316.6165561,260.46955,341.0338243,476.8135895,448.8471367,398.9902532,471.7940225,357.3334916,199.2904017,169.1326772,93.04803022,373.6983978,595.5244804,583.9571979,501.8746371,335.8667715,305.0578925,64.51736656
Solyc05g006215,34.19708474,29.55226365,59.72826452,62.84842903,48.41706121,44.60364623,41.24626772,45.59036708,49.18677229,32.43724901,40.17330087,40.97826637,43.63398865,39.88432002,30.89681062,27.32879209,43.17514666,59.99033369,52.32427348,59.92532981,43.30913632,58.84052354,37.37459781
Solyc05g006220,41.12739096,13.03330602,66.03388775,30.02475557,54.59104888,28.19505098,35.57017584,22.34821916,41.13802773,9.230111507,10.00299058,6.890150983,7.700115644,19.08937027,7.492687044,8.052233385,14.29447423,28.6815099,20.74665071,29.57521665,29.34414951,27.63160854,11.22659022
Solyc05g007000,4.35511046,7.72905357,19.96780691,15.26682487,12.5104487,9.706492962,9.207882397,12.06803834,19.37660726,13.18587358,9.680313463,14.50558102,7.619906106,4.919940791,3.62006228,2.846749176,16.33654198,25.61631037,21.96704193,22.98859635,10.95986307,16.77633376,4.547479581
Solyc05g007770,9.088926178,5.15270238,13.31187127,9.923436163,30.86993835,7.626530184,7.568122518,8.715805471,17.14084489,6.329219319,3.388109712,3.626395254,6.095924884,12.79184606,7.745249529,2.521406413,8.751718918,13.13656942,10.06822755,24.92583761,7.247651384,38.85694951,4.831697055
Solyc05g008140,51.73113816,43.79797023,151.68527,92.61873752,83.67378027,76.72751579,45.91327661,66.59769308,116.4086944,87.81791805,86.63880549,81.59389321,81.41268102,70.32235371,53.37487175,36.031711,83.14132972,118.4480676,101.9026667,91.17948888,78.13321736,70.06586451,41.06942497
Solyc05g008220,4.809556769,0.60620028,43.78905023,20.61021357,34.93177235,21.26184173,10.46923615,13.40893149,33.53643565,10.81241634,11.29369904,12.69238339,21.89720386,15.5470129,13.2174367,0.081335691,8.314132972,26.49208167,29.89958485,24.92583761,10.07600314,14.80264743,0.568434948
Solyc05g008460,17.04173658,53.19407457,54.29842229,56.99614617,28.59531132,32.81719049,23.96572131,30.39357805,11.32786271,10.81241634,12.10039183,28.64852251,36.976597,37.45714922,14.64862411,20.74060114,35.5903236,38.53393697,31.57762277,57.98808854,37.6524328,47.24511639,43.76949097
Solyc05g008590,3.143253637,6.36510294,8.582653846,10.94122449,5.686567591,5.777674382,5.802227264,5.363572597,1.639559076,2.373457245,3.065432597,5.076953356,8.823049175,8.790294214,4.040999754,4.961477136,8.16827099,8.538770124,6.864700603,11.36514876,6.010247489,5.674348183,8.526524215
Solyc05g008640,0.795281041,2.12170098,1.050937206,0.508894162,2.274627037,0.924427901,0.630676877,0,0.149050825,0,0.161338558,0.725279051,0.40104769,0.721591316,0.420937474,0.162671382,0.437585946,1.094714118,0.457646707,2.841287189,0.35354397,0.863487767,0.994761158
Solyc05g009120,1.325468401,0.60620028,9.108122449,5.852282865,5.686567591,4.622139506,2.901113632,2.681786299,15.65033664,1.846022301,2.420078366,1.087918576,6.898020264,4.460746318,6.229874621,0.244007072,1.604481802,4.816742121,5.034113775,6.199172049,1.237403895,2.590463301,0.426326211
Solyc05g010340,11.3232872,3.94030182,44.66483124,40.71153298,50.36674152,25.19066031,21.56914918,16.53768218,136.0834033,43.77710029,43.72274914,48.5936964,39.06204498,20.99174738,36.45318528,7.970897694,35.15273765,81.22778759,91.98698808,40.03631948,54.0922274,63.15796238,9.66339411
Solyc05g012430,3.635570471,0.15155007,11.03484066,11.19567157,7.311301189,3.92881858,8.07266402,2.458304107,3.726270628,5.538066904,5.324172405,5.076953356,5.133410429,10.82386974,5.724749652,0.162671382,3.792411531,26.71102449,22.88233534,8.91130982,8.661827264,6.291125159,0.568434948
Solyc05g013750,11.20967562,12.1240056,25.74796154,18.57463692,15.43496918,11.78645574,22.70436755,17.43161094,23.84813202,12.65843864,11.77771471,17.04405769,17.9669365,25.64929133,17.67937392,8.296240457,14.5861982,26.05419602,22.72978644,21.05135508,15.55593468,22.08061575,10.51604653
Solyc05g013820,101.4551385,105.0241985,167.0990157,164.6272615,129.6537411,128.9576922,99.89921724,125.1500273,141.0020806,123.1560592,114.8730531,141.0667754,164.1087147,135.3311714,113.4005556,117.8554159,132.8802656,161.1419182,164.6002656,165.1821052,140.887272,142.9689031,146.5141078
Solyc05g015850,6.892435685,0.45465021,91.95700549,55.46946368,61.73987671,21.72405568,22.32596143,52.51831502,157.0995697,19.77881037,20.16731971,45.6925802,32.56507241,33.65239501,14.90118659,1.382706743,6.126203242,58.67667675,52.93446909,36.67843462,9.192143219,20.8470618,0.994761158
Solyc05g024240,1.24972735,4.24340196,4.378905023,3.816706217,2.924520476,1.617748827,2.270436756,0.893928766,0.894304951,1.318587358,0.968031346,2.175837152,1.844819373,3.673555791,1.094437433,1.382706743,2.771377657,2.846256708,1.525489023,5.682574378,4.772843595,4.44079423,1.563196106
Solyc05g041920,1.173986298,1.21240056,8.757810047,10.17788324,5.849040951,5.546567407,2.522707506,4.24616164,9.837354457,2.900892188,3.065432597,4.71431383,4.972991353,5.575932897,1.515374908,0.488014145,3.063101621,5.035684945,7.017249505,11.88174643,2.298035805,5.427637392,0.994761158
Solyc05g045650,14.76950504,17.27670798,40.63623862,39.43929757,27.62047116,23.80401845,16.52373416,18.99598628,38.75321453,28.74520441,29.20227895,36.62659207,25.74726168,23.15652132,23.15156109,17.5685092,34.42342774,37.0013372,39.66271459,39.90717006,28.99060554,37.62339556,22.16896296
Solyc05g047390,13.44403664,18.1860084,31.17780377,26.46249643,27.4579978,25.19066031,18.03735867,20.56036162,21.76142047,16.61420071,17.42456423,26.11004583,28.71501459,32.47160922,19.7840613,24.40070723,18.67033369,28.46256708,23.95017766,32.28735442,33.05636119,26.76812077,22.3110717
Solyc05g050200,19.01100392,46.22277135,41.51201962,40.4570859,28.92025804,28.65726493,17.15441104,24.80652326,21.01616634,18.46022301,15.6498401,31.18699918,35.45261578,31.22522422,23.82506105,32.94095476,43.17514666,54.07887745,47.59525751,61.73342165,46.84457602,37.25332937,38.79568518
Solyc05g051570,37.2267268,35.91736659,108.7720008,108.6489036,74.25032541,69.10098561,68.74377954,71.96126568,133.8476409,83.86215597,71.79565818,90.65988135,80.28974749,57.85850371,47.6501221,35.62503255,65.78375386,121.9511528,139.7347945,114.2972346,73.53714575,77.59054363,43.62738223
Solyc05g051710,0.908892618,0,4.554061224,7.633412433,3.736887274,3.004390679,0.756812252,2.011339724,5.812982179,1.846022301,1.613385577,1.813197627,2.646914752,1.967976317,1.767937392,2.19606365,2.479653693,6.349341887,5.796858287,8.782160403,3.5354397,2.220397115,0.568434948
Solyc05g052280,103.1214416,7.42595343,518.2871986,531.0310583,457.5249811,361.9135233,163.0930403,646.5339802,824.8472662,166.9331595,73.08636665,650.9379481,592.3474378,77.27587003,28.20281078,5.693498353,114.7933798,481.2363265,728.8786551,373.2418171,29.16737752,287.2947156,12.07924264
Solyc05g052670,4.544463089,2.72790126,78.64513422,51.1438633,84.81109379,31.89276259,8.577205521,6.034019172,92.56056239,8.17524162,6.614880866,25.02212725,6.898020264,26.7644779,8.502936982,2.440070723,12.83585441,43.13173627,39.20506789,42.361009,6.187019474,36.88326319,3.126392212
Solyc05g053220,8.217904086,16.97360784,14.18765228,11.45011865,8.286141348,14.32863247,7.820393269,6.257501364,3.875321453,5.010631961,6.130865193,1.813197627,10.26682086,6.166325792,6.398249611,7.56421924,10.79378667,21.2374539,6.254504994,12.3983441,12.19726696,9.868431622,14.06876495
